120,140
112,142
432,370
190,280
206,16
186,78
416,282
432,328
306,290
130,242
292,338
424,324
174,148
148,90
164,226
166,72
502,330
180,312
150,340
148,156
192,370
246,104
284,402
112,286
134,176
236,310
228,406
278,358
490,294
160,124
278,30
302,302
228,334
516,246
144,324
416,336
288,74
430,294
102,194
436,234
340,266
410,298
292,338
442,298
336,374
202,116
220,326
154,356
374,316
214,220
222,2
158,194
208,348
300,328
462,348
384,320
460,348
138,212
278,34
360,372
222,92
366,420
416,316
320,32
272,64
290,370
216,60
442,282
296,336
476,302
450,306
142,292
356,266
196,282
286,64
164,352
332,350
242,64
310,320
292,34
212,82
106,164
372,264
446,274
478,356
400,334
428,354
298,62
122,292
108,146
404,196
122,56
292,42
234,394
320,378
314,352
356,392
254,402
222,332
462,212
390,360
214,160
232,102
490,222
156,126
344,350
426,328
248,310
214,20
142,288
194,134
300,76
116,206
242,90
86,60
216,254
240,316
316,392
320,404
444,228
434,278
420,384
266,368
404,218
218,58
148,264
218,92
188,232
188,268
84,226
410,202
454,176
130,250
210,102
174,100
400,294
158,118
332,418
154,274
312,304
526,192
170,238
418,278
202,74
236,296
368,400
204,54
248,324
174,8
222,370
438,304
136,304
140,352
274,58
186,278
266,296
288,50
420,310
152,216
266,68
208,274
348,326
462,322
460,332
428,352
170,262
488,234
414,386
416,194
456,386
376,244
164,16
398,286
112,216
424,342
154,160
310,352
442,316
118,48
224,72
218,346
378,342
188,66
392,226
444,344
170,40
304,356
142,170
190,108
136,300
446,196
196,344
196,62
216,142
416,220
126,268
120,264
142,186
286,330
312,286
