210,170
206,171
366,285
245,240
253,108
243,139
358,241
366,264
303,245
215,221
296,269
362,262
237,174
224,145
232,213
233,136
401,265
240,256
225,270
224,178
246,285
273,152
292,301
206,243
217,188
268,255
264,303
289,279
395,247
230,162
289,115
301,251
264,267
408,223
222,262
358,268
294,137
365,247
201,197
368,217
320,233
355,249
296,269
371,249
318,287
251,158
260,263
227,278
337,258
257,210
261,101
229,197
254,274
300,264
381,274
342,260
380,274
219,206
289,117
330,286
261,146
333,310
358,258
310,116
286,132
295,285
258,130
371,241
298,268
388,251
375,253
221,246
328,233
248,241
293,132
232,276
316,275
271,132
305,260
296,117
256,141
203,182
336,232
373,237
389,278
350,267
364,277
299,131
211,246
204,173
352,198
211,128
296,121
267,297
310,289
307,276
328,296
277,301
261,266
381,206
